dest_ip,dest_port,metadata_comment
14.225.2.98,808,http
14.241.242.177,1080,socks4
104.218.199.26,16062,http
61.247.178.178,1080,socks5
103.191.99.108,1566,http
118.179.199.74,9090,socks5
45.74.31.30,9220,socks5
144.124.251.24,10605,http
45.74.31.30,38821,socks5
185.49.110.155,1080,socks5
45.74.31.30,7209,socks5
45.221.113.244,1080,socks4
45.74.31.30,6573,socks5
5.249.165.195,20000,socks5
109.197.55.234,1080,socks4
185.32.45.61,8090,http
116.196.150.180,17981,http
103.166.171.93,8080,http
118.179.144.113,9090,socks5
157.20.144.163,3125,http
140.238.32.108,3128,http
45.172.142.38,999,http
150.241.70.126,1080,socks5
160.30.113.24,1080,socks4
84.54.217.219,1080,socks5
45.74.31.30,7342,socks5
47.107.82.96,30051,http
5.255.117.250,1080,socks5
5.104.206.191,1080,socks5
212.34.144.13,18080,socks4
36.88.242.103,1080,socks4
45.74.31.40,12379,socks5
46.8.60.34,1080,socks4
175.184.236.12,1111,http
45.74.31.30,9989,socks5
45.74.31.42,12783,socks5
37.49.224.243,1080,socks5
38.58.182.147,1080,socks5
45.74.31.42,11606,socks5
160.238.65.2,3128,http
160.19.146.72,2022,http
180.74.108.17,8080,http
45.74.31.40,4443,socks5
103.171.183.129,3125,http
27.185.218.213,17981,http
103.130.61.61,8081,http
163.223.137.254,8181,http
154.90.48.231,9090,http
45.74.31.42,4780,socks5
45.74.31.30,8471,socks5
45.74.31.30,8720,socks5
45.74.31.50,11280,socks5
197.248.167.153,8080,http
43.156.199.63,8080,http
196.61.42.26,3128,http
85.14.247.185,3128,http
101.36.104.239,10808,socks5
103.248.9.69,80,socks4
80.72.180.122,1080,socks5
45.74.31.30,43124,socks5
87.225.98.158,81,http
81.91.157.133,5678,socks4
5.160.103.246,8080,socks4
47.76.175.249,1080,socks5
79.150.80.204,80,socks5
45.74.31.42,11210,socks5
45.74.31.42,22457,socks5
113.249.111.67,1080,socks5
103.176.97.206,8082,http
114.252.12.211,8888,http
160.238.65.3,3128,http
78.109.137.53,1080,socks5
114.249.220.157,8888,http
117.50.179.251,8081,http
75.102.134.110,8080,http
45.74.31.30,5849,socks5
78.109.200.168,9910,socks4
190.60.47.61,999,http
114.249.221.24,8888,http
103.151.22.66,8082,http
45.74.31.30,9953,socks5
147.45.60.246,1082,socks5
111.192.25.85,8888,http
217.182.195.221,30006,http
45.74.31.30,43215,socks5
185.99.98.65,40001,socks4
69.36.63.128,1080,socks4
45.74.31.30,10908,socks5
119.93.178.99,8081,http
144.31.11.58,1085,socks5
147.45.60.250,1082,socks5
163.61.112.250,8080,http
111.196.31.158,8888,http
213.199.47.140,1080,socks5
83.147.216.208,1080,socks5
45.74.31.25,8086,socks5
152.53.183.107,8081,socks5
103.114.97.59,80,socks4
45.74.31.42,14494,socks5
45.74.31.30,8173,socks5
164.52.11.194,18080,http
103.46.186.17,8090,http
172.85.99.37,16062,http
45.184.103.166,999,http
45.66.248.28,18000,http
45.74.31.30,8081,socks5
45.198.20.219,3125,http
111.206.4.163,18888,socks5
85.117.56.66,8080,http
37.221.202.27,8080,http
123.119.25.143,8888,http
101.51.247.69,8080,http
45.74.31.30,6919,socks5
45.74.31.42,19753,socks5
171.242.14.54,1080,socks4
174.138.165.206,8001,http
120.24.202.132,19000,http
14.207.199.94,8080,http
77.163.47.213,3128,http
195.19.52.147,1080,socks5
67.206.213.202,55555,socks4
45.74.31.30,5626,socks5
201.71.2.61,999,http
103.161.62.153,1080,socks4
107.167.18.122,443,socks5
72.56.94.27,1081,socks5
103.156.17.71,8818,http
45.74.31.42,20711,socks5
103.157.79.5,8080,http
157.66.100.23,8888,http
116.212.156.72,1080,socks4
167.250.137.129,1080,socks4
45.74.31.30,11872,socks5
123.58.219.171,10808,socks5
194.124.36.132,8080,http
45.74.31.30,7681,socks5
81.158.71.182,8888,http
79.154.2.246,8080,http
111.119.162.248,10903,socks5
186.33.51.9,999,http
130.255.94.39,5080,socks5
203.8.223.254,3000,http
107.155.87.251,3128,http
103.218.183.133,8080,http
124.41.225.101,1080,socks5
165.101.26.18,8080,http
118.179.93.216,9090,socks5
94.247.241.70,51006,socks4
103.156.75.215,9980,http
89.43.133.230,8080,http
223.254.141.102,6637,socks4
179.189.253.193,5432,socks4
165.99.192.41,1111,http
123.57.0.163,8888,http
45.74.31.40,14435,socks5
47.101.159.19,8899,http
43.135.176.121,1080,socks5
103.134.56.148,8080,http
45.74.31.30,9156,socks5
152.53.183.107,8081,http
123.112.144.116,8888,http
197.157.192.168,1080,socks4
118.69.134.153,20000,socks5
124.128.149.84,8090,http
223.25.110.76,3125,http
91.150.189.122,60647,socks4
58.136.100.104,8080,http
103.141.164.203,8080,http
45.74.31.30,7197,socks5
153.80.240.2,8080,http
103.199.86.82,8080,http
45.74.31.30,22059,socks5
58.136.169.5,8080,http
45.74.31.30,5956,socks5
85.163.43.208,48293,socks4
91.223.224.238,48293,socks4
36.25.247.27,6256,http
45.74.31.42,13692,socks5
212.46.245.189,1080,socks5
113.46.227.104,2388,http
188.191.164.55,4890,socks5
160.19.146.221,2022,http
95.46.105.163,4145,socks4
